,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Number
  75 Years & Over,2255,2103,1941,1955,1960,1958,1944,1925,1890,1897,1830,1761,1687,1616,1564,1493,1424,1374,1263,1224,1127,1217,1115,1035
  80 Years & Over,1307,1323,1328,1308,1264,1239,1208,1157,1137,1137,1087,1012,954,872,824,769,709,675,641,635,590,567,514,474
  85 Years & Over,730,740,720,693,680,649,614,590,548,525,476,427,392,374,371,353,318,281,260,251,235,228,219,203
  90 Years & Over,317,320,322,283,268,229,215,198,197,188,176,160,147,138,128,118,99,93,80,88,83,89,82,74
Other Ethnic Groups (Males),29327,27949,26579,26438,25758,25166,24546,24072,23492,23057,22554,21882,21505,21132,19887,18419,17424,16871,16407,16241,15994,16297,16005,15662
  0 - 4 Years,2588,2634,2577,2567,2596,2616,2620,2592,2550,2497,2507,2523,2529,2488,2275,2049,1904,1850,1833,1832,1770,1842,1876,1849
  5 - 9 Years,2777,2695,2594,2640,2572,2541,2499,2534,2454,2386,2300,2193,2124,2163,2076,1924,1855,1831,1787,1782,1791,1926,1858,1834
  10 - 14 Years,2618,2452,2371,2380,2319,2257,2150,2064,2090,2112,2089,2103,2092,2038,1902,1781,1736,1692,1663,1680,1719,1753,1690,1590
  15 - 19 Years,2361,2194,2062,2120,2123,2103,2124,2117,2033,1942,1880,1814,1761,1726,1686,1681,1630,1564,1488,1474,1421,1333,1279,1224
  20 - 24 Years,2487,2463,2404,2283,2083,2001,1931,1841,1843,1817,1788,1630,1588,1545,1457,1318,1191,1151,1134,1033,947,931,910,869
  25 - 29 Years,2538,2331,2086,2060,1962,1934,1839,1744,1606,1512,1389,1267,1261,1230,1151,1029,949,897,827,817,819,881,881,888
  30 - 34 Years,2019,1890,1732,1641,1541,1399,1289,1282,1256,1221,1205,1158,1166,1160,1083,981,937,886,876,881,851,847,849,902
  35 - 39 Years,1570,1434,1363,1322,1290,1259,1215,1215,1201,1215,1258,1337,1363,1413,1279,1075,911,895,890,943,1033,1121,1170,1183
  40 - 44 Years,1436,1312,1259,1262,1301,1337,1407,1424,1463,1481,1432,1368,1358,1356,1259,1180,1185,1177,1141,1183,1169,1207,1221,1220
  45 - 49 Years,1500,1527,1484,1565,1567,1502,1442,1428,1405,1411,1437,1469,1455,1412,1380,1289,1230,1211,1194,1118,1120,1094,1042,1030
  50 - 54 Years,1656,1544,1472,1491,1469,1481,1507,1493,1428,1435,1405,1372,1343,1313,1213,1164,1087,1009,994,1021,987,1022,1036,911
  55 - 59 Years,1556,1514,1448,1435,1441,1389,1343,1325,1293,1231,1214,1144,1075,1035,1030,962,964,980,865,742,651,539,417,443
  60 - 64 Years,1368,1300,1232,1247,1178,1170,1104,1031,990,997,965,954,981,868,737,638,509,387,403,434,434,472,487,467
  65 - 69 Years,1098,1017,950,925,920,879,876,884,798,699,615,496,377,384,390,391,405,424,410,411,419,426,439,444
  70 - 74 Years,798,768,759,716,618,540,435,337,342,356,351,374,385,376,351,356,354,363,380,383,393,386,386,383
  75 - 79 Years,462,370,279,292,302,294,310,329,318,311,302,300,301,303,314,315,300,287,269,261,247,307,278,266
  80 - 84 Years,229,236,240,246,227,231,235,228,234,252,254,232,212,198,183,173,174,174,169,160,145,138,121,99
  85 - 89 Years,155,155,154,153,165,164,151,142,123,123,110,100,96,88,89,81,76,65,58,55,51,46,39,36
  65 Years & Over,2853,2659,2495,2425,2316,2177,2076,1982,1880,1800,1685,1550,1409,1385,1359,1348,1336,1341,1312,1301,1282,1329,1289,1252
  70 Years & Over,1755,1642,1545,1500,1396,1298,1200,1098,1082,1101,1070,1054,1032,1001,969,957,931,917,902,890,863,903,850,808
  75 Years & Over,957,874,786,784,778,758,765,761,740,745,719,680,647,625,618,601,577,554,522,507,470,517,464,425
  80 Years & Over,495,504,507,492,476,464,455,432,422,434,417,380,346,322,304,286,277,267,253,246,223,210,186,159
  85 Years & Over,266,268,267,246,249,233,220,204,188,182,163,148,134,124,121,113,103,93,84,86,78,72,65,60
  90 Years & Over,111,113,113,93,84,69,69,62,65,59,53,48,38,36,32,32,27,28,26,31,27,26,26,24
Other Ethnic Groups (Females),32300,30465,28418,28418,27700,26912,26261,25611,24829,24391,23746,23199,22794,22504,21207,19676,18694,17998,17483,17214,16933,17334,16986,16582
  0 - 4 Years,2674,2711,2624,2604,2566,2576,2659,2664,2573,2532,2502,2429,2404,2422,2209,1942,1792,1696,1675,1675,1702,1804,1819,1810
  5 - 9 Years,2797,2748,2649,2662,2658,2626,2540,2527,2495,2398,2252,2162,2069,2081,1971,1857,1843,1793,1762,1739,1699,1784,1784,1708
  10 - 14 Years,2697,2458,2306,2454,2356,2240,2186,2064,2041,2051,2042,2088,2084,2033,1907,1782,1682,1672,1614,1572,1579,1613,1500,1429
  15 - 19 Years,2354,2140,1953,2065,2087,2080,2092,2095,2026,1934,1858,1789,1782,1731,1649,1628,1558,1416,1349,1306,1255,1249,1201,1159
  20 - 24 Years,2054,1965,1889,1935,1874,1786,1729,1679,1613,1591,1638,1579,1470,1409,1356,1227,1139,1113,1064,1007,941,937,912,882
  25 - 29 Years,1845,1734,1609,1617,1607,1641,1623,1529,1447,1444,1344,1301,1341,1390,1266,1095,994,942,901,856,899,898,893,908
  30 - 34 Years,2167,2083,1898,1804,1801,1682,1595,1588,1543,1444,1393,1357,1332,1354,1250,1123,1029,985,998,1009,1031,1094,1170,1175
  35 - 39 Years,2625,2462,2198,2053,1858,1730,1602,1512,1442,1449,1449,1474,1499,1566,1450,1314,1255,1282,1235,1243,1270,1397,1387,1446
  40 - 44 Years,2420,2102,1852,1727,1697,1668,1647,1650,1660,1655,1677,1661,1720,1674,1563,1440,1434,1386,1430,1498,1507,1531,1499,1422
  45 - 49 Years,2054,1953,1845,1875,1828,1831,1805,1815,1730,1688,1614,1631,1620,1613,1614,1562,1502,1445,1372,1335,1262,1236,1163,1095
  50 - 54 Years,2050,1941,1875,1842,1779,1691,1675,1625,1600,1640,1620,1590,1520,1441,1361,1260,1177,1093,1028,1004,956,954,957,890
  55 - 59 Years,1752,1673,1561,1623,1605,1582,1531,1447,1383,1341,1270,1181,1106,1035,987,934,904,906,842,736,639,552,464,480
  60 - 64 Years,1568,1485,1354,1340,1284,1189,1107,1043,966,946,903,886,884,828,702,605,518,434,443,491,532,550,568,574
  65 - 69 Years,1152,1024,923,921,881,848,828,820,764,678,589,510,426,441,478,518,516,525,532,542,539,553,528,534
  70 - 74 Years,793,757,727,725,637,542,463,389,396,448,484,480,497,495,498,497,504,490,497,484,465,482,490,460
  75 - 79 Years,486,410,334,355,394,425,426,439,435,449,441,449,432,441,426,409,415,412,353,328,290,343,323,295
  80 - 84 Years,348,347,368,369,357,359,359,339,355,360,357,353,350,300,270,243,217,220,212,224,210,201,174,172
  85 - 89 Years,258,265,244,257,247,256,248,250,228,214,190,167,149,148,154,154,143,123,122,108,101,93,98,93
  65 Years & Over,3243,3010,2805,2817,2700,2590,2470,2373,2310,2278,2184,2071,1963,1927,1922,1907,1867,1835,1770,1743,1661,1735,1669,1604
  70 Years & Over,2091,1986,1882,1896,1819,1742,1642,1553,1546,1600,1595,1561,1537,1486,1444,1389,1351,1310,1238,1201,1122,1182,1141,1070
  75 Years & Over,1298,1229,1155,1171,1182,1200,1179,1164,1150,1152,1111,1081,1040,991,946,892,847,820,741,717,657,700,651,610
  80 Years & Over,812,819,821,816,788,775,753,725,715,703,670,632,608,550,520,483,432,408,388,389,367,357,328,315
  85 Years & Over,464,472,453,447,431,416,394,386,360,343,313,279,258,250,250,240,215,188,176,165,157,156,154,143
  90 Years & Over,206,207,209,190,184,160,146,136,132,129,123,112,109,102,96,86,72,65,54,57,56,63,56,50
,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
"Data from 2003 onwards exclude residents who are overseas for a continuous period of 12 months or longer as at the reference period.  For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends) and the Information Paper on 'Singapore Resident Population, 2003-2007' (www.singstat.gov.sg/-/media/files/publications/population/respop.pdf).",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 14/12/2023,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,
